x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.0,2.6806273535356038,0.7119201148707766,0.0,1.0,2897.3811825977036,18252.589326588095,2708.0055558727154,2897.3811825486805,18252.589324048397,2708.004591866657,3.0760946544062096e-8,2.5807743722670833e-10,1.3975397882956166e-11,1.0e-6,1.0e-8,0.007
0.0,2.8741113808563172,0.8777292006077483,0.0,1.0,2897.3811825977036,18252.589326588095,2708.0055558727154,2897.3811825486805,18252.589324048397,2708.004591866657,1.826224236580562e-8,2.5394387354727602e-6,0.0009640060443864686,1.0e-6,1.0e-8,0.007
0.0,2.8276736115138363,0.8362938826371615,0.0,1.0,2897.3811825977036,18252.589326588095,2708.0055558727154,2897.3811825486805,18252.589324048397,2708.004591866657,2.4159544211557762e-21,4.108351439634034e-20,9.689450522326325e-18,1.0e-6,1.0e-8,0.007
0.0,2.7460922855898318,0.7655937465568431,0.0,2.0,6734.8877493431155,1590.5817400753192,9762.547909279376,6734.885937086726,1590.5817395556091,9762.547907211672,0.0018114692919939752,5.196587249668945e-7,2.0659123991656586e-6,1.0e-6,1.0e-8,0.007
0.0,2.833665095273993,0.842404531814969,0.0,2.0,6734.8877493431155,1590.5817400753192,9762.547909279376,6734.885937086726,1590.5817395556091,9762.547907211672,7.870978801201507e-7,5.136365696038097e-11,1.791457165660717e-9,1.0e-6,1.0e-8,0.007
0.0,2.8651044710068208,0.8700133516251118,0.0,2.0,6734.8877493431155,1590.5817400753192,9762.547909279376,6734.885937086726,1590.5817395556091,9762.547907211672,7.234504917011145e-46,2.620242599887562e-43,3.437827915683404e-45,1.0e-6,1.0e-8,0.007
0.0,2.6806273535356038,0.7119201148707766,0.0,3.0,2040.082169032177,1734.5937888302024,3500.883476923306,2040.082169031882,1734.5937888302021,3500.8834769233054,1.9919008194992434e-43,1.7958750616855306e-46,1.9484745819297197e-46,1.0e-6,1.0e-8,0.007
0.0,2.8741113808563172,0.8777292006077483,0.0,3.0,2040.082169032177,1734.5937888302024,3500.883476923306,2040.082169031882,1734.5937888302021,3500.8834769233054,1.4420875310548527e-42,2.15095172855018e-39,4.026465523321746e-40,1.0e-6,1.0e-8,0.007
0.0,2.8276736115138363,0.8362938826371615,0.0,3.0,2040.082169032177,1734.5937888302024,3500.883476923306,2040.082169031882,1734.5937888302021,3500.8834769233054,2.95217738808918e-10,1.4882855331158772e-13,3.576989913947544e-13,1.0e-6,1.0e-8,0.007
0.0,2.7460922855898318,0.7655937465568431,0.0,4.0,3320.7366323717492,3318.7237529200024,2086.924440481823,3320.7366323717492,3318.7237529200024,2086.924440481823,9.73770082995784e-38,1.1102715881804903e-36,4.010521743627926e-39,1.0e-6,1.0e-8,0.007
0.0,2.833665095273993,0.842404531814969,0.0,4.0,3320.7366323717492,3318.7237529200024,2086.924440481823,3320.7366323717492,3318.7237529200024,2086.924440481823,9.249563275412227e-31,3.935367453658861e-27,1.5325786825295654e-30,1.0e-6,1.0e-8,0.007
0.0,2.8651044710068208,0.8700133516251118,0.0,4.0,3320.7366323717492,3318.7237529200024,2086.924440481823,3320.7366323717492,3318.7237529200024,2086.924440481823,6.088719862718909e-56,2.567164301558501e-53,6.899970868040468e-56,1.0e-6,1.0e-8,0.007
0.0,2.6806273535356038,0.7119201148707766,0.0,5.0,1963.3224185567944,14967.244214467732,2113.012083567295,1963.3224185567944,14967.244214467732,2113.012083567295,3.6666055581714047e-60,3.1361215953697458e-56,1.668408736037336e-59,1.0e-6,1.0e-8,0.007
0.0,2.8741113808563172,0.8777292006077483,0.0,5.0,1963.3224185567944,14967.244214467732,2113.012083567295,1963.3224185567944,14967.244214467732,2113.012083567295,1.5653080647435783e-23,1.0706720604585525e-20,1.0302267173786852e-18,1.0e-6,1.0e-8,0.007
0.0,2.8276736115138363,0.8362938826371615,0.0,5.0,1963.3224185567944,14967.244214467732,2113.012083567295,1963.3224185567944,14967.244214467732,2113.012083567295,1.6380595000696406e-33,1.9306278903418315e-32,8.595209721353562e-30,1.0e-6,1.0e-8,0.007
0.0,2.7762709413799036,0.7906725754108722,0.0,6.0,6049.535495233586,2213.6685193350086,6131.296706917111,6049.535495232988,2213.6685193350036,6131.296706870541,2.213558174765837e-26,3.5214654393440167e-26,6.940628745887915e-23,1.0e-6,1.0e-8,0.007
0.0,2.765086217373597,0.7702588762621165,0.0,6.0,6049.535495233586,2213.6685193350086,6131.296706917111,6049.535495232988,2213.6685193350036,6131.296706870541,5.975295105423794e-10,5.208926528397872e-12,4.656975690771968e-8,1.0e-6,1.0e-8,0.007
